model,k,precision_at_k,recall_at_k,f1_at_k,average_anomaly_rank,mean_reciprocal_rank,pr_auc
rule_score,10.0,0.38461538461538464,0.425531914893617,0.40404040404040403,188.66382978723405,0.18436701754036183,0.31102718987761657
statistical_score,10.0,0.36538461538461536,0.40425531914893614,0.3838383838383838,122.80851063829788,0.19618546866787612,0.37811645260640875
ml_score,10.0,0.45,0.4978723404255319,0.4727272727272727,31.629787234042553,0.24043305779385848,0.5668741720181907
hybrid_score,10.0,0.5269230769230769,0.5829787234042553,0.5535353535353535,33.08085106382979,0.2571941567400457,0.6823163967609731
